STATUS,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
RESOLVED,Low,3163.1963333333338,905.4926666666665
INPROG,Low,1911.87,529.6
RESOLVED,Medium,1518.6217647058827,439.8864705882352
CLOSED,High,837.5439465308735,837.5439465308735
CLOSED,Low,122.60639999999995,34.244420509428096
CLOSED,Medium,64.99463419615108,17.593647827640773
QUEUED,Low,28.37,14.37
AWAITVEN,Medium,8.396666666666667,0.0
AWAITVEN,Low,2.1266666666666665,0.4383333333333333
INPROG,Medium,0.11,0.0
AWAITCUS,Low,,
QUEUED,Medium,,
SLAHOLD,Low,,
SLAHOLD,Medium,,
